id,title,authors,genre,isbn,num_pages,publisher,publication_date,price
391,Nature's Whispers: Gentle Guidance from a Garden,Deborah Clarke,unknown,1922175080,251,Brolga Pub.,2014-04-01,39.0
392,She Who Runs,Mike Allen,fantasy,nan,22,Mythic Delirium Books,2012-06-16,18.5
393,In A Corner Darkly,Sue Rovens,fiction,1470132842,162,CreateSpace,2012-10-11,22.0
394,Human Sacrifice: A Shocking Expose of Ritual Killing Worldwide,Jimmy Lee Shreeve,unknown,1569803463,321,Barricade Books,2008-07-01,37.25
395,Stolen Souls,Mike Allen,unknown,nan,31,Mythic Delirium Books,2012-06-30,18.75
396,Free Will,Gary Watson,science,019925494X,472,"Oxford University Press, USA",2003-03-27,49.0
397,Mrs. Dalloway (Annotated),"Virginia Woolf,Mark Hussey,Bonnie Kime Scott",fiction,0547662408,304,Houghton Mifflin Harcourt,2005-08-01,27.25
398,Etruscans: Beloved of the Gods,"Morgan Llywelyn,Michael Scott",fantasy,0812580125,368,Tor Fantasy,2001-12-09,5.25
399,"The Norton Anthology of English Literature, Vol. A: Middle Ages","M.H. Abrams,Stephen Greenblatt,James Simpson,Alfred David",fiction,0393927172,543,W. W. Norton,2006-12-22,46.25
400,"Autumn's Hope (Cowboy Seasons, #2)",Kathleen Ball,romance,1631050443,150,s,2013-12-27,32.0
401,"White Hot Kiss (The Dark Elements, #1)",Jennifer L. Armentrout,fantasy,1460323688,384,Harlequin,2014-02-25,45.5
402,"Fountain of Dreams (Akora, #4)",Josie Litton,romance,0553585835,384,Bantam,2003-07-01,25.0
403,"The Broken Anchor (Nancy Drew, #70)",Carolyn Keene,mystery,0671742280,189,Minstrel,1991-07-01,14.0
404,Natural Born Heroes: How a Daring Band of Misfits Mastered the Lost Secrets of Strength and Endurance,Christopher McDougall,history,0307594963,337,Knopf,2015-04-14,37.0
405,Gray Card (Department of Homeworld Security #1),Cassandra Chandler,romance,1619228823,80,Samhain Publishing,2015-10-06,9.5
406,The American Painter Emma Dial,Samantha Peale,fiction,0393074390,336,W. W. Norton  Company,2010-05-03,17.5
407,Il mestiere di vivere,Cesare Pavese,unknown,nan,362,Einaudi,1973-08-11,35.5
408,"Badortsmysteriet (Hercule Poirot, #8)","Agatha Christie,Helen Ljungmark",mystery,9187441071,239,Bookmark Forlag,2015-05-11,45.75
409,If You See a Kitten,John Butler,unknown,1561451088,24,Peachtree Publishers,2003-03-01,23.0
410,Otherwise Engaged,Nicole Green,romance,1484010981,200,Nicole Green,2013-05-24,27.5
411,Moral Hazard,Kate Jennings,fiction,0007141084,175,Fourth Estate (GB),2002-06-01,10.75
412,Stones,Marilyn Baron,unknown,nan,350,The Wild Rose Press,2014-07-16,29.25
413,The Blood of Strangers: Stories from Emergency Medicine,Frank Huyler,science,031242356X,176,Picador,2004-04-01,39.0
414,NYPD Red,James Patterson,mystery,nan,368,"Little, Brown and Company",2012-10-08,19.75
415,The Good Knight,Sarah Woodbury,mystery,1466367741,347,Sarah Woodbury,2011-09-25,46.5
416,"Labirynt Cienia (Ulysses Moore, #9)","Pierdomenico Baccalario,Bozena Fabiani",fantasy,8376263838,320,Wydawnictwo Olesiejuk,2010-03-10,13.25
417,Tomas Young's War,"Mark Wilkerson,Phil  Donahue",unknown,1608466507,248,Haymarket Books,2016-04-26,7.5
418,Lost to the West: The Forgotten Byzantine Empire That Rescued Western Civilization,Lars Brownworth,history,nan,352,Broadway,2009-09-15,46.25
419,Koine Greek New Testament,Anonymous,unknown,nan,741,Stefan Rusek,2009-03-29,25.25
420,"僕のヒーローアカデミア 15 [Boku No Hero Academia 15] (My Hero Academia, #15)","Kohei Horikoshi,Ku Yue Geng Ping",fantasy,4088812026,192,Ji Ying She,2017-09-04,12.75
421,Civil War Pittsburgh: Forge of the Union,"Len Barcousky,Andrew E. Masich",history,162619081X,127,History Press (SC),2013-05-07,11.0
422,"Benazir Bhutto: Benazir Bhutto,Asif Ali Zardari,Bilawal Bhutto Zardari,Zulfikar Ali Bhutto,Pakistan,Pakistan Peoples Party,Prime Minister Of Pakistan,Politics ... Pakistan,2007 Pakistani State Of Emergency","John McBrewster,Frederic P.  Miller,Agnes F. Vandome",unknown,6130005504,188,Alphascript Publishing,2011-07-25,12.75
423,We Are the Ants,Shaun David Hutchinson,fiction,1481475207,464,Simon Pulse,2016-01-19,12.5
424,"His Favorite, Vol. 8",Suzuki Tanaka,fiction,1421584239,175,SuBLime,2016-01-12,44.5
425,Shoe Dog: A Memoir by the Creator of NIKE,Phil Knight,history,1501135910,386,Scribner,2016-04-26,25.75
426,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,"Chris Kyle,Scott McEwen,Jim DeFelice,John Pruden",history,0062082353,381,William Morrow,2012-01-03,18.5
427,El Señor es mi Pastor,Carlos Perez Casas,unknown,1519185766,344,Createspace Independent Publishing Platform,2016-01-05,7.75
428,Hot Dudes Reading,Hot Dudes Reading,romance,1501127535,208,Atria Books,2016-04-26,38.75
429,I Won't Comb My Hair,"Annette Langen,Frauke Bahr",fantasy,0735823154,32,NorthSouth,2010-09-01,32.5
430,"Red Rover: Inside the Story of Robotic Space Exploration, from Genesis to the Mars Rover Curiosity",Roger Wiens,science,0465055982,256,Basic Books,2013-03-12,39.25
431,Sit Still!,Nancy Carlson,unknown,0670857211,32,Viking Juvenile,1996-05-01,42.75
432,"Don't Bite the Messenger (NIght Runner, #0,5)",Regan Summers,romance,nan,91,Carina Press,2012-01-16,35.25
433,Math on Trial: How Numbers Get Used and Abused in the Courtroom,"Leila Schneps,Coralie Colmez",science,0465032923,272,Basic Books,2013-03-12,19.5
434,My Everything (The Beaumont Series #1.5),Heidi McLaughlin,romance,nan,61,MadBear Publishing,2013-03-17,33.75
435,Children of the Days: A Calendar of Human History,"Eduardo Galeano,Mark Fried",history,1568587473,423,Nation Books,2013-04-30,20.5
436,"Forever Burning (Eternals, #3)",Evi Asher,romance,1771117966,121,Extasy Books  www.extasybooks.com,2014-01-15,19.5
437,I Wish Someone Were Waiting for Me Somewhere,Anna Gavalda,fiction,nan,212,Riverhead Books,2003-12-02,17.25
438,Cornflakes: Poems,James Stevenson,unknown,0688167187,56,Greenwillow Books,2000-03-01,27.25
439,The Devil's Own,Janet Louise Roberts,romance,0727816659,255,Pocket Books,1978-01-01,22.75
440,Petropolis,Anya Ulinich,fiction,0670038199,324,Viking,2007-02-15,40.25
441,Unfinest Hour: Britain and the Destruction of Bosnia,Brendan Simms,history,0140289836,496,Penguin Global,2003-08-11,19.75
442,Raising An Emotionally Intelligent Child,"John M. Gottman,Joan DeClaire",unknown,0684838656,240,Simon  Schuster,1998-08-12,41.0
443,God Hunger,Michael Ryan,unknown,0140586202,96,Puffin,1990-08-01,46.5
444,To Santa With Love,Janet Dailey,romance,1420120735,352,Zebra,2011-10-01,26.5
445,The Heart of Parenting: Raising an Emotionally Intelligent Child,"John M. Gottman,Joan DeClaire",unknown,0684801302,240,Simon & Schuster,1997-02-03,31.75
446,"Raising Emotionally Intelligent Teenagers: Guiding the Way for Compassionate, Committed, Courageous Adults","Maurice J. Elias,Steven E. Tobias,Brian S. Friedlander",unknown,0609805258,272,Three Rivers Press,2002-02-26,41.25
447,"Point of Hopes (Astreiant, #1)","Melissa Scott,Lisa A. Barnett",fantasy,nan,338,Lethe Press,2012-04-20,30.25
448,The Lost Codex (OPSIG Team Black #3),Alan Jacobson,fiction,1504003632,428,Open Road Media Mystery & Thri,2015-11-03,42.0
449,Le redoutable pirate Morgan (Les Campbell #2),Jose Luis Munuera,unknown,nan,56,Dupuis,2014-10-02,24.0
450,Magna Carta: The Birth of Liberty,Dan Jones,history,0525428291,288,Viking,2015-10-20,39.0
451,"The Stolen Mackenzie Bride (MacKenzies & McBrides, #8)",Jennifer Ashley,romance,0425266028,314,Berkley,2015-09-29,39.75
452,Si c'est un homme,"Primo Levi,Martine Schruoffeneger",history,2266022504,315,Pocket,2010-08-19,32.25
453,"Once Upon A Kiss (Be-Wished, #3)",Kate Willoughby,romance,nan,0,Ellora's Cave,2010-08-25,24.5
454,The Chairman: A Novel of Big City Politics,Mark M. Quinn,unknown,1439255598,384,Booksurge Publishing,2009-10-13,15.75
455,Fallen Grace,Mary Hooper,fiction,1408815117,320,Bloomsbury U.S.A. Children's Books,2010-09-06,8.75
456,Once I Was A Wife,Kathleen McKenna Hewtson,unknown,nan,259,Taylor Street Publishing,2014-04-27,28.25
457,Mann går på bar,Oliver Opheim,unknown,nan,222,Kvalshaug forlag,2014-02-15,20.0
458,Independence Lost: Lives on the Edge of the American Revolution,Kathleen DuVal,history,1400068959,435,Random House,2015-07-07,31.5
459,Three Sides of a Heart: Stories about Love Triangles,"Natalie C. Parker,Rae Carson,Brandy Colbert,Katie Cotugno,Alaya Dawn Johnson,E.K. Johnston,Tessa Gratton,Garth Nix,Veronica Roth,Sabaa Tahir,Brenna Yovanoff,Renee Ahdieh,Julie   Murphy,Justina Ireland,Lamar Giles,Bethany Hagen",romance,0062424475,448,HarperCollins,2017-12-19,9.75
460,Been There Done That~ In Flames  (The Tested Love Series),Nikki Walker,romance,nan,56,Nikki Walker,2012-10-24,14.25
461,"Crushing on You (Love Stories For Young Adults, #25)",Wendy Loggia,romance,0553485911,192,Bantam Books for Young Readers,1998-01-12,41.5
462,Nightmare Ballad,Benjamin Kane Ethridge,fiction,1936564831,260,JournalStone,2013-05-17,17.0
463,Escape from Tykonia (Galactic Odyssey #1),Trent Gillespie,fiction,1490964053,264,Trent Gillespie/Createspace,2013-06-30,46.5
464,Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,fiction,1609415949,281,Grand Central Publishing,2010-03-02,15.75
465,"Dark Swan (Otherworld Assassin, #3)",Gena Showalter,romance,nan,160,Pocket Star,2017-09-25,15.25
466,"Keynes: The Rise, Fall, and Return of the 20th Century's Most Influential Economist",P.F. Clarke,history,1608190234,224,Bloomsbury Press,2009-10-27,45.75
467,Sona and the Wedding Game,"Kashmira Sheth,Yoshiko Jaeggi",fiction,1561457353,32,Peachtree Publishers,2015-04-15,37.0
468,A Field Guide to the Birds of Hawaii and the Tropical Pacific,"H. Douglas Pratt,Phillip L. Bruner,Delwyn G. Berrett",unknown,0691023999,528,Princeton University Press,1987-06-21,10.5
469,Philosopher à la plage,Jean-Louis Cianni,unknown,nan,234,Albin Michel,2016-05-04,7.5
470,Before the Poison,Peter Robinson,mystery,0062004794,368,William Morrow,2012-02-21,40.25
471,Meet a Baby Hippo,Lisa Owings,unknown,1467783633,32,Lerner Classroom,2015-08-01,33.75
472,A Dragonling's Haunted Halloween and Night of the DeMented Symbiots: Two Dragonlings of Valdier Novellas,"S.E. Smith,David Brenin",unknown,nan,6,Susan E. Smith,2017-10-03,23.5
473,A Passionate Prodigality,Guy Chapman,history,0907675425,288,Cimino Publishing Group,1990-12-01,18.75
474,Gardening with a Wild Heart: Restoring California's Native Landscapes at Home,Judith Larner Lowry,science,0520215176,280,University of California Press,1999-01-01,46.75
475,"The Ecstasy of Influence: Nonfictions, Etc.",Jonathan Lethem,fiction,0385534965,592,Vintage,2011-11-08,46.0
476,Street Soldier,Silhouettes,unknown,1601624522,288,Urban Books,2011-06-01,18.25
477,1500 Words in 15 Minutes a Day,Ceil Cleveland,unknown,0071850465,432,McGraw-Hill Education,2014-05-21,30.0
478,"September Sky (American Journey, #1)",John A. Heldt,romance,nan,412,John A. Heldt,2015-01-01,46.25
479,The End of Science: Facing the Limits of Knowledge in the Twilight of the Scientific Age,John Horgan,science,0201626799,320,Basic Books,1996-05-12,6.5
480,"Fire in the Mind: Science, Faith, and the Search for Order","George Johnson,Edward Kastenmeier",science,067974021X,402,Vintage,1996-09-17,5.5
481,Generica,"Will Ferguson,Katimaviktim",fiction,014029984X,320,Penguin Canada,2001-04-17,33.75
482,The Bride Sale,Candice Hern,romance,0061491241,384,HarperCollins Publishers,2007-08-21,10.5
483,Bearing Witness: Stories of Martyrdom and Costly Discipleship,"Charles E. Moore,Timothy J. Keiderling",history,0874867045,242,Plough Publishing House,2016-03-01,48.0
484,"Gambit Classic, Vol. 1","Howard Mackie,Chris Claremont,Mike Collins,Jim Lee,Whilce Portacio,Lee Weeks,Bill Jaaska,Jason Gorder",romance,0785137297,176,Marvel,2009-05-06,11.75
485,Operation Itchy Bum,Niki Daly,unknown,1444900927,137,Hachette Children's Books,2012-02-01,39.75
486,Superior Spider-Man Team-Up: Superiority Complex,"Christopher Yost,Paco Medina",fiction,0785165363,120,Marvel,2013-07-30,46.25
487,"Gambit, Volume 2: Tombstone Blues","James Asmus,Pasqual Ferry,Clay Mann",fiction,0785165487,120,Marvel,2013-07-30,26.0
488,First X-Men,"Neal Adams,Christos Gage",fiction,0785164960,112,Marvel,2013-09-03,34.75
489,"Ultimate Comics: Spider-Man, by Brian Michael Bendis, Volume 4","Brian Michael Bendis,David Marquez,Sara Pichelli",fiction,0785165037,112,Marvel,2013-08-06,45.5
490,"The Invincible Iron Man, Vol. 11: The Future","Matt Fraction,Salvador Larroca",fiction,0785165223,152,Marvel,2013-07-09,6.75
491,"Uncanny X-Men by Kieron Gillen, Vol. 4","Kieron Gillen,Daniel Acuna,Ron Garney,Dale Eaglesham,Carlos Pacheco",fiction,0785165304,136,Marvel,2013-06-04,12.0
492,"Uncanny X-Force, Vol. 7: Final Execution - Book 2","Rick Remender,David Williams,Phil Noto,Jerome Opena",fiction,0785161864,160,Marvel,2013-08-06,46.5
493,X-Force: Phalanx Covenant,"Fabian Nicieza,Scott Lobdell,Todd Dezago,Roger Cruz,Jan Duursema,Steve Epting,Terry Dodson,Tony S. Daniel",unknown,0785162712,256,Marvel,2013-08-20,12.0
494,"FF by Jonathan Hickman, Vol. 4","Jonathan Hickman,Nick Dragotta,Gabriel Hernandez Walta,Andre Lima Araujo",fiction,0785163158,168,Marvel,2013-06-11,33.25
495,Avengers Assemble,"Brian Michael Bendis,Mark Bagley",fiction,078516328X,184,Marvel,2013-08-06,8.75
496,"Trial by Fire: The Hundred Years War, Volume 2",Jonathan Sumption,history,0571207375,655,Faber & Faber,2001-08-18,49.0
497,"Knife Edge (Noughts & Crosses, #2)",Malorie Blackman,fiction,0552548928,364,Corgi Childrens,2005-06-30,16.25
498,After Magritte: A Play. by Tom Stoppard,Tom Stoppard,fiction,0573620024,32,Samuel French,1998-12-01,7.0
499,Time After Time,"Molly Keane,Emma Donoghue",fiction,1844083276,256,Virago,2006-06-01,19.5
500,Noughts & Crosses,"Dominic Cooke,Malorie Blackman",fiction,1854599399,96,Nick Hern Books,2008-04-01,20.5
501,"The Forbidden (Vampire Huntress, #5)",L.A. Banks,fantasy,0312940025,490,St. Martin's Paperbacks,2006-06-27,21.75
502,Every Bitter Thing (Chief Inspector Mario Silva #4),Leighton Gage,mystery,1569478457,288,Soho Crime,2010-12-01,49.25
503,عند الخطر إنسان آخر - من وحش لإنسان: والمزيد,NOT A BOOK,science,nan,16,Science and Fiction Magazine,2012-10-10,43.75
504,Blame,Paul   Read,fiction,1785079212,288,Legend Times Group,2017-08-01,33.0
505,Daughters of the Dust,Julie Dash,fiction,nan,320,Plume,1999-02-01,34.25
506,Tycoon,Harold Robbins,fiction,1451697163,432,Simon  Schuster,2012-06-19,11.75
507,Complete Cartoons of the New Yorker,"Robert Mankoff,David Remnick,Adam Gopnik",history,1579126200,669,Black Dog & Leventhal,2006-10-08,45.75
508,草房子 The Grass House,Cao Wen Xuan  Cao Wenxuan,unknown,nan,308,Zhong Guo Shao Nian Er Tong Chu Ban She  China children's Publishing House,2016-01-01,23.25
509,Il male viene dal nord,Fulvio Tomizza,unknown,nan,501,A. Mondadori,1984-01-01,9.5
510,Leota's Garden,Francine Rivers,fiction,nan,442,"Tyndale House Publishers, Inc.",2004-10-01,42.5
511,"Queen Mean (Honey Creek Royalty, #3)",Jennifer  Anderson,unknown,nan,79,Turquoise Morning Press,2012-12-20,44.0
512,Si te vieras con mis ojos,Carlos Franz,romance,nan,376,Alfaguara,2016-04-28,17.75
513,Guppies for Tea,Marika Cobbold,fiction,0552995371,288,Bantam Books,1996-06-01,46.0
514,100 Buildings 100 Years,Twentieth Century Society,unknown,1849941939,208,Batsford,2015-02-03,34.25
515,The Rose and the Thorn (The Riyria Chronicles #2),Michael J. Sullivan,fantasy,B00F8LQRDU,0,Recorded Books,2013-09-17,25.5
516,The Bait of Satan (Book with DVD): Living free from the deadly trap of offense,John Bevere,unknown,1616381965,272,Charisma House,2010-12-20,35.0
517,The Texan's Forbidden Fiancee (Lone Star Legends #1),Sara Orwig,romance,0373733216,192,Harlequin,2014-06-03,39.5
518,Too Close to Resist,Nicole Helm,romance,0373608519,384,Harlequin,2014-06-03,41.25
519,No Place to Run,Marion Faith Laird,romance,0373446055,224,Love Inspired,2014-06-03,37.5
520,A Romance Rekindled,Kimberly Rose Johnson,romance,0373487150,192,Love Inspired,2014-06-03,28.25
521,Collateral Damage,Hannah Alexander,romance,0373446020,224,Love Inspired,2014-06-03,12.0
522,Why Bad Things Happen to Good People,"Rodger Swearingen,M. Stefan Strozier,Kyle Torke",unknown,1935444182,146,"World Audience, Inc.",2010-01-01,23.5
523,"Murder in St. Barts (Gendarme Trenet, #1)","J.R. Ripley,Glenn Meganck",mystery,1892339552,247,Beachfront Publishing,2003-05-28,47.25
524,Ian Botham: The Power and the Glory,Simon Wilde,unknown,1847376487,384,Simon  Schuster UK,2011-04-14,8.25
525,The Knitting Book,"Frederica Patmore,Vikki Haffenden",unknown,1405368039,400,Dorling Kindersley,2011-09-01,17.75
526,National Geographic Investigates: Outbreak: Science Seeks Safeguards for Global Health,Charles Piddock,science,1426302630,64,National Geographic Children's Books,2008-08-12,16.25
527,"Winter Of The Wolf Moon (Alex McKnight, #2)",Steve Hamilton,mystery,0312974752,320,Minotaur Books,2001-02-15,33.25
528,The Tattooed Potato and Other Clues,Ellen Raskin,mystery,0140471413,160,Puffin,1979-08-30,45.5
529,The Widow's War,Sally Cabot Gunning,fiction,0061632295,336,HarperCollins Publishers,2008-04-01,15.25
530,Ways to Disappear,Idra Novey,fiction,0316298506,272,Little Brown and Company,2016-02-09,48.0
531,Manners & Mutiny,Gail Carriger,fantasy,0316299782,224,"Hachette Little, Brown & Co",2015-11-03,13.5
532,"The Wimpy Kid Movie Diary, How Greg Heffley Went Hollywood, The Story of all Three Movies",Jeff Kinney,fiction,141970642X,256,Harry N. Abrams,2012-06-26,23.5
533,La máquina de niebla,Carlos Augusto Rojas,unknown,nan,176,E-ditorial 531 S.A.S,2017-04-25,12.25
534,That Darn Squid God,"Nick Pollotta,James Clay",fantasy,1592240976,292,Wildside Press,2004-06-01,33.25
535,"Dust (Silo, #3)",Hugh Howey,fiction,8865971592,456,Fabbri,2014-05-28,46.0
536,At First Sight,Nicholas Sparks,romance,0446578770,464,Grand Central Publishing,2005-10-18,49.0
537,Journey into God's Word: Your Guide to Understanding and Applying the Bible,"J. Scott Duvall,J. Daniel Hays",history,nan,161,Zondervan,2009-06-01,48.25
538,The Pay-Off,Vivien Armstrong,mystery,0727875353,318,Severn House Publishers,2006-10-01,14.5
539,Study Tips,William H. Armstrong,unknown,0812023668,262,Barron's Educational Series,1983-11-01,49.0
540,Junk Day on Juniper Street,"Lilian Moore,Arnold Lobel",unknown,0553156276,64,Skylark,1988-06-01,10.25
541,"Snow Flower: Arara's Tale (Flower's Fang, #0.5)",Madison Keller,fantasy,0990716732,134,Hundeliebe Publishing,2014-11-22,7.25
542,Shameless,Paul Burston,fiction,044669133X,288,Warner Books,2007-09-03,30.75
543,The Duke's Husband,"Mychael Black,Shayne Carmichael",romance,1594268223,216,Phaze Books,2008-07-01,42.0
544,Plunge (Las Vegas Mystery #7),Rex Kusler,unknown,nan,213,Rex Kusler,2014-08-06,50.0
545,Dian Dincin Buchmans Herbal Medicine: Natural Way to Get Well and Stay Well,Dian Dincin Buchman,fiction,0517320932,320,Outlet,1996-03-05,46.5
546,"Crave (The Fallen Angels, #2)","J.R. Ward,Eric G. Dove",romance,1441830898,13,Brilliance Audio,2010-10-05,10.0
547,The Clown,"Heinrich Boll,Leila Vennewitz",fiction,1935554174,248,Melville House,2010-12-28,30.75
548,"Α μπε μπα μπλομ (Helen Grace, #1)","M.J. Arlidge,Sophia Tappa",fiction,nan,392,Dioptra,2015-04-22,35.5
549,"Star Wars, Episode I, the Phantom Menace",Patricia C. Wrede,fiction,0439106737,178,Scholastic,1999-01-01,8.5
550,Star Wars Episode I: The Phantom Menace Scrapbook,"Ryder Windham,Alice Alfonsi",unknown,0375800085,64,LucasBooks for Young Readers,1999-04-24,47.75
551,"Die kleine Bäckerei am Strandweg (Little Beach Street Bakery, #1)","Jenny Colgan,Sonja Hagemann",fiction,3833310537,496,Berlin Verlag Taschenbuch,2016-06-01,44.75
552,Tarzan: The Epic Adventures,R.A. Salvatore,fantasy,0345408101,279,Del Rey,1998-05-13,42.25
553,"Nu ser du mig (Lacey Flint, #1)",S.J. Bolton,mystery,917499168X,438,Modernista,2012-09-13,42.5
554,Where Truth Lies,Christiane Heggan,fiction,0778323374,378,Mira Books,2006-09-01,6.0
555,"Choices of Fate (Fate, #1)",S. Simone Chavous,romance,nan,306,S. SImone Chavous,2013-06-14,29.5
556,Canadian Folk: Portraits of Remarkable Lives,Peter Unwin,history,1459710274,232,Dundurn,2013-09-07,10.75
557,Online Dating is Easy... Said No Girl Ever,Tammie Bernal,unknown,nan,47,Amazon,2013-09-28,7.0
558,White Bodies,Jane Robins,mystery,1501175742,256,Touchstone,2017-09-19,48.25
559,Campaign Zen 500bc - 2012: Colonial March Thru Election History Told in Tavern Doggerel,Peter Prasad,history,1478129824,156,Createspace,2012-07-01,20.25
560,The Ripple Effect (Rhiannon's Law #3),J.A. Saare,fantasy,1606593315,210,Mundania Press LLC,2012-07-01,30.25
561,The Sound of Colors: A Journey of the Imagination,"Jimmy Liao,Sarah L. Thomson",fiction,0316939927,80,"Little, Brown Books for Young Readers",2006-03-01,34.5
562,"聖闘士星矢 THE LOST CANVAS 冥王神話 外伝 3 (Saint Seiya The Lost Canvas Gaiden, #3)","Masami Kurumada,Shiori Teshirogi",unknown,4253216463,186,Qiu Tian Shu Dian   (Akita Shoten),2012-02-08,43.5
563,The League of Freaks and the Secret Key,Alberto Hazan,fantasy,1451519168,352,Createspace,2010-07-09,11.5
564,Dear Demented Diary Vol II Tales of the Uncontrollable Cunt,Catherine Elizabeth Clay,unknown,nan,600,Catherine Elizabeth Clay,2013-01-29,9.0
565,Share: The Cookbook That Celebrates Our Common Humanity,Meryl Streep,unknown,1906868875,255,Kyle Cathie Limited,2013-05-16,39.25
566,Don Juan de Marco,"Lenore Fleischer,Lenore Fleischer",fiction,0451184394,240,Signet,1995-04-01,22.0
567,Dyslexia: A Complete Guide for Parents and Those Who Help Them,Gavin Reid,unknown,0470973730,267,John Wiley & Sons,2011-06-20,49.25
568,One Hundred Essential Things You Didn't Know You Didn't Know: Math Explains Your World,John D. Barrow,science,0393070077,304,W. W. Norton  Company,2009-05-18,40.75
569,A Dictionary of English Place-Names,A.D. Mills,history,0192800744,448,"Oxford University Press, USA",1998-08-27,17.5
570,Secret Society Of The Left Hand,Dandi Daley Mackall,fiction,0613236130,80,Turtleback Books,1996-07-01,20.0
571,"Smarty-Pants Sheltie (Pet Trouble, #6)",Tui T. Sutherland,fiction,0545103037,176,Scholastic Paperbacks,2010-05-01,21.5
572,Through Kenny's Eyes: A Magnificent Journey from Illness to Ecstasy,Carol and Ken Jones,unknown,1452522758,362,Balboa Press,2014-11-07,12.5
573,Daily Wisdom for Women 2016 Devotional Collection,Various,unknown,1634093143,384,Barbour Books,2015-10-01,44.0
574,101 Family Meal-Time Devotions,Greg Johnson,unknown,1630583774,192,GoTandem,2015-10-01,17.25
575,The Lost Bird Project,Todd McGrain,science,1611685664,85,University Press of New England,2014-09-02,6.25
576,Rumic Theater: One Or Double,Rumiko Takahashi,fantasy,1569312591,256,VIZ Media LLC,1998-06-05,21.0
577,"Rumic World Trilogy, Volume 3 (Rumic World Trilogy, #3)",Rumiko Takahashi,fantasy,1569312060,192,Viz Media,1997-11-05,6.25
578,"One Pound Gospel, Volume 1",Rumiko Takahashi,romance,1569311315,240,VIZ Media LLC,1996-08-05,19.0
579,"One Pound Gospel, Volume 3. Knuckle Sandwich.",Rumiko Takahashi,romance,1569312605,208,VIZ Media LLC,1998-06-05,42.75
580,"Maison Ikkoku, Volume 2 (Maison Ikkoku, #2)",Rumiko Takahashi,romance,1591160995,232,VIZ Media LLC,2003-11-26,49.0
581,The Kingdom of Fungi,Jens H. Petersen,science,0691157545,265,Princeton University Press,2013-04-28,13.75
582,The Southpaw,Mark Harris,fiction,0803273371,350,Bison Books,2003-12-01,26.0
583,The Longest Afternoon: The 400 Men Who Decided the Battle of Waterloo,Brendan Simms,history,0141979267,160,Penguin,2015-05-07,16.25
584,Circles of Hell,Dante Alighieri,fiction,0141980222,64,Penguin Classics,2015-02-26,37.75
585,Southpaw,Scott Morse,unknown,0972179445,128,Adhouse Books,2003-10-19,15.5
586,碧海のAiON [Hekikai no AiON] 11,"Yuna Kagesaki,Ying Qi  You Na",fantasy,4047128317,156,Kadokawa Shoten,2012-10-05,13.75
587,How to Write and Sell Short Stories,Della Galton,unknown,1907726039,292,Cheever Publishing,2014-05-14,32.25
588,More Words Upon a Tombstone: A Collection of Short Stories,Barry Jones,unknown,1534966838,184,Createspace Independent Publishing Platform,2016-08-30,49.75
589,The Rock & Roll Film Encyclopedia,John Kenneth Muir,unknown,1557836930,358,Applause Theatre & Cinema Book Publishers,2007-04-01,7.5
590,The Complete Idiot's Guide to Aquaponic Gardening,"Meg Stout,Tim Mann",unknown,1615642358,352,Alpha,2013-04-02,11.0
591,Christmastime,Alison Jay,fiction,0803738048,32,Dial Books,2012-11-08,46.0
592,If I Built a House,Chris Van Dusen,fiction,0803737513,32,Dial Books,2012-10-25,33.0
593,Everyday Divine: A Catholic Guide to Active Spirituality,Mary DeTurris Poust,unknown,1615642005,284,Alpha,2012-11-06,43.0
594,Masquerading Mistress,Sophia James,romance,0373294751,304,Harlequin,2007-12-01,32.75
595,"Exposed to You (One Night Of Passion, #2)",Beth Kery,romance,0425259153,307,Berkley,2012-11-06,10.75
596,"Beautifully Decadent (Beautifully Damaged, #3)",L.A. Fiore,romance,1530169674,380,CreateSpace,2016-05-27,29.75
597,Disgraced: A Play,Ayad Akhtar,fiction,0316324469,96,Back Bay Books,2013-09-10,47.25
598,True Type Tales: Real Stories about the Power of Personality Type in Everyday Life,Patrick L Kerwin,unknown,0615609279,292,Kerwin & Associates,2013-11-16,21.5
599,Island Unknown,Gary Henicke,unknown,1477559981,96,Createspace,2012-06-06,41.0
600,Tied (Fire Born #1),Laney McMann,fantasy,1937744302,277,J. Taylor Publishing,2013-09-09,22.0
601,The Sea Watch,Adrian Tchaikovsky,fantasy,1447224922,698,Tor,2012-11-22,35.5
602,The White Hairs,Noah K. Mullette-Gillman,unknown,0557482844,122,Lulu.com,2010-06-11,11.25
603,Haken no Kouki Altina 8 [覇剣の皇姫アルティーナ 8 ] (Haken no Kouki Altina #8),Yukiya Murasaki,fantasy,nan,281,KADOKAWA,2015-02-28,10.5
604,Farmer in the Sky,Robert A. Heinlein,fiction,1439132771,304,Baen,2009-06-30,27.25
605,Submissive,Anya Howard,romance,0758228805,320,Aphrodisia,2009-05-01,43.25
606,100 Days in Texas,Wallace O. Chariton,history,1556221479,408,Republic of Texas Press,1992-05-01,30.0
607,Some of the Dead Are Still Breathing: Living in the Future,Charles Bowden,history,0151013950,256,Houghton Mifflin Harcourt,2009-04-09,32.0
608,The Smuggler's Gambit (Adam Fletcher Adventure #1),Sara Whitford,fiction,0986325201,324,Seaport Publishing,2015-03-17,22.75
